track_id	artist	title	duration_seconds_metadata	duration_seconds_measured	source_url	license	sha256	publisher_sha256	source_metadata_commit	download_date	local_file
track_0000382	Les Petits Chanteurs de Montigny	Soon and Very Soon (Negro Spiritual)	211.1	211.069	https://cdn.freesound.org/mtg-jamendo/raw_30s/audio-low/82/382.low.mp3	Available under a Creative Commons Attribution-Share-Alike license: http://creativecommons.org/licenses/by-sa/2.0/	1ef6f272d03f2cd7a2e457bcea623d800a22bee5e22adad6932145c8fd1f7c80	1ef6f272d03f2cd7a2e457bcea623d800a22bee5e22adad6932145c8fd1f7c80	cafd8e20c265ed84f1e61f1c875327971f43a62f	2026-07-26	track_0000382.mp3
track_0000387	Les Petits Chanteurs de Montigny	Cantique de Jean Racine (Gabriel Fauré)	257.1	257.071	https://cdn.freesound.org/mtg-jamendo/raw_30s/audio-low/87/387.low.mp3	Available under a Creative Commons Attribution-Share-Alike license: http://creativecommons.org/licenses/by-sa/2.0/	1e61e46278a3fff98345d45d62dffb4b88e0a93fceed4a3de7649477b6375230	1e61e46278a3fff98345d45d62dffb4b88e0a93fceed4a3de7649477b6375230	cafd8e20c265ed84f1e61f1c875327971f43a62f	2026-07-26	track_0000387.mp3
track_0000759	Vavrek	Sunlight	379.8	379.847	https://cdn.freesound.org/mtg-jamendo/raw_30s/audio-low/59/759.low.mp3	Available under a Creative Commons Attribution-Share-Alike license: http://creativecommons.org/licenses/by-sa/2.0/	1a59207b4bd691ce2b9994eefd4d2c8c98c9de929360057a9292ff8c74799c3d	1a59207b4bd691ce2b9994eefd4d2c8c98c9de929360057a9292ff8c74799c3d	cafd8e20c265ed84f1e61f1c875327971f43a62f	2026-07-26	track_0000759.mp3
track_0000760	Vavrek	World that you know	187.0	186.958	https://cdn.freesound.org/mtg-jamendo/raw_30s/audio-low/60/760.low.mp3	Available under a Creative Commons Attribution-Share-Alike license: http://creativecommons.org/licenses/by-sa/2.0/	3490aa4961b3746078d976fdabf0163023e587ad1ca22990ed2d5e27522fbd95	3490aa4961b3746078d976fdabf0163023e587ad1ca22990ed2d5e27522fbd95	cafd8e20c265ed84f1e61f1c875327971f43a62f	2026-07-26	track_0000760.mp3
track_0000761	Vavrek	Modern Life	203.3	203.285	https://cdn.freesound.org/mtg-jamendo/raw_30s/audio-low/61/761.low.mp3	Available under a Creative Commons Attribution-Share-Alike license: http://creativecommons.org/licenses/by-sa/2.0/	4198b7add7eff425ba275a0357712a1c7240a95896109cd56bba51774fcce783	4198b7add7eff425ba275a0357712a1c7240a95896109cd56bba51774fcce783	cafd8e20c265ed84f1e61f1c875327971f43a62f	2026-07-26	track_0000761.mp3
track_0000762	Vavrek	Healing Luna	407.0	406.962	https://cdn.freesound.org/mtg-jamendo/raw_30s/audio-low/62/762.low.mp3	Available under a Creative Commons Attribution-Share-Alike license: http://creativecommons.org/licenses/by-sa/2.0/	300575ac65f6406faaaa71d31ab352a3b9ccc5af06a8b4f7191a7b6d0f2f300b	300575ac65f6406faaaa71d31ab352a3b9ccc5af06a8b4f7191a7b6d0f2f300b	cafd8e20c265ed84f1e61f1c875327971f43a62f	2026-07-26	track_0000762.mp3
track_0000764	Vavrek	Peace on earth	220.2	220.238	https://cdn.freesound.org/mtg-jamendo/raw_30s/audio-low/64/764.low.mp3	Available under a Creative Commons Attribution-Share-Alike license: http://creativecommons.org/licenses/by-sa/2.0/	32f9d5ad054efb911a672f9da4b7dd0837139f4beaeb0c6c62d1e50e704461c6	32f9d5ad054efb911a672f9da4b7dd0837139f4beaeb0c6c62d1e50e704461c6	cafd8e20c265ed84f1e61f1c875327971f43a62f	2026-07-26	track_0000764.mp3
track_0000765	Vavrek	Bedtime	233.0	233.038	https://cdn.freesound.org/mtg-jamendo/raw_30s/audio-low/65/765.low.mp3	Available under a Creative Commons Attribution-Share-Alike license: http://creativecommons.org/licenses/by-sa/2.0/	8a29ee085aef68e1600c714267039a575e1668dac0e1ad51fe0076f4105ef1c3	8a29ee085aef68e1600c714267039a575e1668dac0e1ad51fe0076f4105ef1c3	cafd8e20c265ed84f1e61f1c875327971f43a62f	2026-07-26	track_0000765.mp3
track_0000766	Vavrek	Balance	216.5	216.477	https://cdn.freesound.org/mtg-jamendo/raw_30s/audio-low/66/766.low.mp3	Available under a Creative Commons Attribution-Share-Alike license: http://creativecommons.org/licenses/by-sa/2.0/	774438acede5a9b43b6a20e1184b4d647bfcb8b8fba0123d01f54e646eb73e42	774438acede5a9b43b6a20e1184b4d647bfcb8b8fba0123d01f54e646eb73e42	cafd8e20c265ed84f1e61f1c875327971f43a62f	2026-07-26	track_0000766.mp3
track_0000767	Vavrek	Once Again	235.2	235.233	https://cdn.freesound.org/mtg-jamendo/raw_30s/audio-low/67/767.low.mp3	Available under a Creative Commons Attribution-Share-Alike license: http://creativecommons.org/licenses/by-sa/2.0/	7b39df744f797c3451ba333765a0ea4ffa67543c0e4c8462f3399966e2c9c16d	7b39df744f797c3451ba333765a0ea4ffa67543c0e4c8462f3399966e2c9c16d	cafd8e20c265ed84f1e61f1c875327971f43a62f	2026-07-26	track_0000767.mp3
